participant,Neptun,Computer_task,thanks,Challengescenario,Failurescenario,Criticismscenario,IQ1,IQ2,FMS1,FMS2,FMS3,FMS4,CrMS1,CrMS2,CrMS3,CrMS4,ChMS1,ChMS2,ChMS3,ChMS4,Ego1,Ego2,Ego3,Ego4,Ego5,Ego6,Ego7,Ego8,Ego9,Ego10,Ego11,gender,age,father,mother,feedback,Email,thanks2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.929e9395-c62a-4431-82d7-973f0ddad91e.txt,11973,"",3903,31903,18597,24937,6112,8113,5458,4074,3981,5177,3052,3234,3198,3416,2548,3362,7776,8175,5039,3633,11301,3044,3992,3686,11897,5266,4118,4169,3223,2971,2829,3105,3013,5054,18474,2173,3415,2020-02-13-16-14,2020-02-13-16-31,17
s.8e3715bb-2d6f-435d-81c5-8b6fccdff6cf.txt,39364,"",4368,26226,25855,29501,6826,4244,5840,6124,7268,3388,8253,4672,4505,8252,3369,7474,7253,22934,7413,5701,19796,6748,8713,6561,4356,5394,4426,6565,3470,2275,5230,4700,2921,7008,15291,6584,3636,2020-02-13-16-14,2020-02-13-16-32,18
s.c6daa881-a26c-412a-b85f-ec0eafb35bc6.txt,9659,"",5787,28730,20351,41555,8321,5613,5460,6414,5141,5403,4776,8104,7633,4095,5109,4786,8472,5792,4349,5187,6423,5195,4215,3309,5211,4050,3080,7632,5163,3626,4233,8252,3163,7386,50891,12656,16928,2020-02-13-08-34,2020-02-13-08-53,19
s.6e90368c-3687-4158-bf13-f42552e4ae30.txt,24509,"",4965,23664,16058,26755,7921,10124,5176,4805,6764,9221,5150,4669,6913,4502,4308,4553,5108,6366,5346,6092,16692,4444,3635,4971,5244,8231,9137,5021,17316,5028,12728,16043,3516,3628,20155,15485,103736,2020-02-12-17-42,2020-02-12-18-01,19
s.a796c768-1bdf-4cb3-a47e-0985f50c2463.txt,20117,"",5415,25786,15513,48009,7113,6761,13717,12977,6771,8926,5081,7460,4234,3837,5209,4355,3776,3698,2814,3403,6333,3229,3162,4027,5710,2762,3834,6228,3140,3813,5971,16953,1542,2819,25726,10375,26284,2020-02-24-12-39,2020-02-24-12-58,19
s.9f34c682-94be-41de-9717-76c0606e355f.txt,8346,"",4208,35404,22275,16489,6712,4343,4881,5490,4327,4950,4522,4151,4290,4473,3750,3752,4891,4613,3685,4963,5278,4196,3605,4524,4477,3270,6104,3920,3365,2989,4606,3781,3822,3557,24850,2128,22032,2020-02-13-08-38,2020-02-13-08-55,17
s.89331fec-7d40-4951-8cfc-bfcbe438b92c.txt,6663,"",6114,22644,24748,38271,10023,8302,5258,3863,4129,4604,6609,7576,4562,6197,10008,11684,7981,9500,11101,6311,6591,3551,5482,4593,10906,8012,6355,7713,5823,3186,4375,6894,2686,3369,25025,1940,43631,2020-02-13-08-34,2020-02-13-08-54,20
s.1ad5a282-f329-4c5e-beac-4b977086125a.txt,6261,"",5648,46866,38541,26194,7766,10133,10271,6922,8016,7478,7004,5863,11759,7436,5768,4064,10077,6336,6665,8117,6119,5181,6414,7617,7709,5128,3296,9897,5634,2435,4638,3710,2656,4750,30400,8947,21489,2020-02-12-16-20,2020-02-12-16-39,19
s.545baab4-cd1c-4d94-9c6c-ff676c109f0f.txt,20172,"",5066,38575,30094,22523,13583,5276,6574,9093,7986,11574,6948,3293,7066,9771,6783,5724,11858,5156,6343,7839,16019,5727,4848,8909,4202,4186,8178,7492,3746,2742,3906,10646,2451,4515,8853,9786,23201,2020-02-12-16-20,2020-02-12-16-40,20
s.a156ad33-7cb4-4f8b-ae9e-662d8161daca.txt,55187,"",4754,22377,22880,26161,4904,4913,7315,4459,4275,8484,3501,4216,3269,6364,3788,5262,5499,2817,5175,7850,6264,8209,4612,14604,5980,4700,5188,4029,3348,3041,4993,6625,2738,4744,15362,6848,14124,2020-02-13-16-13,2020-02-13-16-32,19
s.679d95a5-6cf6-4dbc-93bb-b3387df9236d.txt,6550,"",5768,25811,17060,19105,8099,4477,3958,6532,4705,8237,6563,6202,5002,7428,3856,5466,4935,4994,5883,6104,7657,3327,4160,4098,7033,5476,4450,5761,5317,3564,4501,2938,5225,5598,15329,5950,29892,2020-02-24-12-39,2020-02-24-12-57,18
s.5ee395b6-6d93-48b2-8385-f3c0d25459e8.txt,11840,"",4083,41046,41055,25771,8290,17561,5774,9963,6768,10529,5483,7287,8154,5129,4722,4469,10662,6407,6904,6947,8216,7632,3932,4550,4430,10663,8808,8365,5665,2964,3310,3191,2517,3605,19979,9730,80895,2020-02-12-16-21,2020-02-12-16-41,20
s.c43fc71c-89b2-4f3a-acfc-45c91bd6faac.txt,7327,"",4518,27502,26726,21208,13469,8293,4346,8949,5515,9517,8547,5062,3149,6241,3381,9095,9109,4469,3763,3908,4579,4652,5059,3141,6855,5981,3172,5400,6441,2952,3460,10256,2288,4319,12323,1799,20922,2020-02-12-16-21,2020-02-12-16-39,18
